Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:03,2019-07-19 13:05:03,0.004s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:03,2019-07-19 13:05:03,0.386s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_1100 W""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:03,2019-07-19 13:05:03,0.146s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:03,2019-07-19 13:05:04,0.443s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""1050"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:04,2019-07-19 13:05:04,0.227s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:04,2019-07-19 13:05:04,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:04,2019-07-19 13:05:04,0.390s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_1100 W""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:04,2019-07-19 13:05:04,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:04,2019-07-19 13:05:05,0.593s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""1100"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:05,2019-07-19 13:05:05,0.403s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:05,2019-07-19 13:05:05,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:05,2019-07-19 13:05:06,0.452s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_90 C0""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:06,2019-07-19 13:05:06,0.011s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:06,2019-07-19 13:05:06,0.513s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""81"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:06,2019-07-19 13:05:07,0.230s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:07,2019-07-19 13:05:07,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:07,2019-07-19 13:05:07,0.444s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_90 C0""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:07,2019-07-19 13:05:07,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:07,2019-07-19 13:05:08,0.478s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""90"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:08,2019-07-19 13:05:08,0.302s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:08,2019-07-19 13:05:08,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:08,2019-07-19 13:05:08,0.373s,PASSED
